Movie_Title,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
Black Rain,/Black-Rain.html,9,1,1,2,0,8,0,1,0,4,0,22116
Black Snake Moan,/Black-Snake-Moan.html,44,16,2,4,0,10,3,2,1,0,0,25238
Black Swan,/Black-Swan.html,1,5,1,0,0,2,1,1,1,0,0,18832
Blade,/Blade.html,4,5,0,0,0,4,1,0,0,0,0,25143
Blade II,/Blade-II.html,14,15,1,4,1,4,0,0,0,0,0,25350
Blade Runner,/Blade-Runner.html,4,5,1,0,1,3,0,0,0,2,0,24551
"Blast from the Past, The","/Blast-from-the-Past,-The.html",6,2,6,4,0,3,0,0,0,0,0,25000
"Blind Side, The","/Blind-Side,-The.html",0,0,1,4,0,11,0,0,0,0,0,26526
"Bling Ring, The","/Bling-Ring,-The.html",8,14,0,4,0,1,1,0,0,0,0,16956
Blood and Wine,/Blood-and-Wine.html,6,6,2,0,1,5,1,0,0,1,0,23025
Blood Simple,/Blood-Simple.html,3,1,2,0,4,3,0,0,0,0,0,20943
Blow,/Blow.html,20,27,2,2,0,6,1,3,0,0,0,23498
Blue Valentine,/Blue-Valentine.html,11,6,0,1,1,5,0,0,0,0,0,22582
Blue Velvet,/Blue-Velvet.html,12,20,3,3,0,1,0,0,1,1,0,27359
"Blues Brothers, The","/Blues-Brothers,-The.html",0,0,0,0,0,0,0,0,0,0,0,22
"Bodies, Rest & Motion","/Bodies,-Rest-&-Motion.html",19,6,0,0,3,0,0,0,0,0,0,16165
Body Heat,/Body-Heat.html,6,3,4,0,1,1,0,0,0,1,0,30886
Body of Evidence,/Body-of-Evidence.html,1,3,0,3,0,2,0,1,0,3,0,21615
Bodyguard,/Bodyguard.html,4,13,1,6,1,2,0,0,0,0,0,35372
Bones,/Bones.html,26,11,16,6,0,8,1,0,0,0,0,29132
Bonfire of the Vanities,/Bonfire-of-the-Vanities.html,17,8,2,5,3,5,2,2,0,1,0,27891
Bonnie and Clyde,/Bonnie-and-Clyde.html,0,1,18,2,0,2,0,0,0,0,0,30502
Boogie Nights,/Boogie-Nights.html,27,69,2,4,3,17,15,8,27,1,0,29904
"Book of Eli, The","/Book-of-Eli,-The.html",10,4,3,3,0,4,0,0,0,0,0,28510
"Boondock Saints, The","/Boondock-Saints,-The.html",48,81,2,5,5,18,3,0,4,2,0,26922
Bottle Rocket,/Bottle-Rocket.html,21,21,2,2,0,2,0,0,0,0,0,20796
Bound,/Bound.html,24,44,0,6,2,5,1,0,0,0,0,19404
"Bounty Hunter, The","/Bounty-Hunter,-The.html",20,16,1,9,10,3,0,0,0,2,0,21514
"Bourne Identity, The","/Bourne-Identity,-The.html",21,14,0,0,0,1,0,0,0,0,0,21736
"Bourne Ultimatum, The","/Bourne-Ultimatum,-The.html",5,0,0,0,0,0,0,0,0,0,0,19921
"Box, The","/Box,-The.html",1,0,2,0,0,2,0,0,0,1,0,22651
"Boxtrolls, The","/Boxtrolls,-The.html",0,0,0,0,0,0,0,0,0,0,0,27031
Boyhood,/Boyhood.html,18,15,2,7,3,8,1,2,1,0,0,31186
Braveheart,/Braveheart.html,0,0,0,1,0,4,0,0,0,1,0,27714
Brazil,/Brazil.html,7,0,4,1,0,1,0,0,0,4,0,34631
Break,/Break.html,4,0,0,0,0,0,0,0,0,0,0,26818
Breakdown,/Breakdown.html,9,12,3,1,4,3,0,0,0,1,0,23420
"Breakfast Club, The","/Breakfast-Club,-The.html",23,9,0,7,5,2,5,0,0,0,0,13901
Breaking Away,/Breaking-Away.html,3,0,9,0,0,0,0,0,0,2,0,23702
Brick,/Brick.html,0,0,2,0,0,0,0,0,0,0,0,22231
Bridesmaids,/Bridesmaids.html,19,2,1,3,1,6,1,0,0,0,0,25823
Bringing Out the Dead,/Bringing-Out-the-Dead.html,10,3,1,1,0,3,0,1,0,2,0,19232
Broadcast News,/Broadcast-News.html,7,3,6,0,1,4,1,0,0,1,0,29197
Broken Arrow,/Broken-Arrow.html,6,1,0,1,2,2,1,2,0,1,0,19085
Broken Embraces,/Broken-Embraces.html,2,6,2,3,1,1,1,0,1,0,0,40037
"Brothers Bloom, The","/Brothers-Bloom,-The.html",12,4,1,5,0,1,0,0,1,2,0,24682
Bruce Almighty,/Bruce-Almighty.html,1,0,5,0,3,7,0,0,0,0,0,23221
Buffy the Vampire Slayer,/Buffy-the-Vampire-Slayer.html,4,1,1,4,0,1,2,2,0,0,0,23643
Bull Durham,/Bull-Durham.html,22,14,29,4,1,16,3,4,2,0,0,24271
Buried,/Buried.html,7,3,2,2,0,1,0,0,0,0,0,18586
Burlesque,/Burlesque.html,17,0,21,7,2,19,0,0,0,0,0,27723
Burn After Reading,/Burn-After-Reading.html,20,27,1,4,0,10,0,0,0,0,0,21363
Burning Annie,/Burning-Annie.html,28,4,2,1,1,4,2,1,0,0,0,21433
"Butterfly Effect, The","/Butterfly-Effect,-The.html",20,15,3,2,1,10,1,0,0,0,0,24459
Cable Guy,/Cable-Guy.html,4,0,6,3,1,4,0,0,0,1,0,24900
Candle to Water,/Candle-to-Water.html,14,39,2,12,0,0,0,1,0,2,0,19749
Capote,/Capote.html,0,0,0,0,0,0,37,0,0,0,0,21051
Carrie,/Carrie.html,11,0,1,1,1,1,0,0,0,1,0,23006
Cars 2,/Cars-2.html,0,0,0,0,0,0,0,0,0,0,0,25013
Case 39,/Case-39.html,2,2,1,0,0,1,0,0,0,0,0,24553
Casino,/Casino.html,37,111,6,8,3,14,1,0,0,2,0,53918
Cast Away,/Cast-Away.html,14,5,24,1,1,0,3,0,0,0,0,27423
Catch Me If You Can,/Catch-Me-If-You-Can.html,9,4,5,1,0,0,0,0,0,0,0,29088
Cecil B. Demented,/Cecil-B.-Demented.html,3,11,3,5,3,7,2,1,0,0,0,22237
Cedar Rapids,/Cedar-Rapids.html,32,24,1,0,3,8,3,3,0,0,0,25949
Celeste & Jesse Forever,/Celeste-&-Jesse-Forever.html,17,21,0,1,0,2,1,0,6,0,0,20662
"Cell, The","/Cell,-The.html",2,1,4,2,0,2,0,0,0,0,0,22412
Cellular,/Cellular.html,28,2,13,7,9,17,0,1,0,4,0,26456
"Change-Up, The","/Change-Up,-The.html",34,70,0,4,1,5,4,0,2,1,3,23867
Changeling,/Changeling.html,3,3,3,0,0,1,0,0,1,2,0,34053
Chaos,/Chaos.html,21,6,1,1,1,1,1,2,0,1,0,21409
Charade,/Charade.html,0,0,1,0,0,0,0,0,0,0,0,31141
Charlie's Angels,/Charlie's-Angels.html,8,2,7,5,3,6,0,0,0,1,0,23927
Chasing Amy,/Chasing-Amy.html,51,43,2,22,5,11,13,3,6,1,0,24636
Chasing Sleep,/Chasing-Sleep.html,4,5,7,6,2,0,0,0,0,1,0,19546
Cherry Falls,/Cherry-Falls.html,8,17,2,0,0,2,2,0,1,2,0,20299
Chinatown,/Chinatown.html,2,1,2,8,0,3,0,0,1,2,0,26058
Christ Complex,/Christ-Complex.html,1,11,0,0,2,3,0,0,0,0,0,12871
Chronicle,/Chronicle.html,43,34,2,4,9,4,1,0,0,0,0,19549
"Cider House Rules, The","/Cider-House-Rules,-The.html",2,0,4,0,0,2,0,0,0,1,0,27409
"Cincinnati Kid, The","/Cincinnati-Kid,-The.html",0,0,6,3,0,1,0,0,0,3,0,26201
Cinema Paradiso,/Cinema-Paradiso.html,1,6,6,0,0,6,0,0,0,4,0,33848
Citizen Kane,/Citizen-Kane.html,0,0,0,0,0,0,0,0,0,0,0,35392
City of Joy,/City-of-Joy.html,0,0,1,0,1,1,0,0,1,0,0,30804
Clash of the Titans,/Clash-of-the-Titans.html,1,0,1,0,0,0,0,0,0,1,0,24014
Clerks,/Clerks.html,36,34,7,6,7,10,10,4,10,0,0,24770
Cliffhanger,/Cliffhanger.html,5,12,2,3,0,2,0,0,0,1,0,31844
"Clockwork Orange, A","/Clockwork-Orange,-A.html",0,0,0,0,0,0,0,0,0,0,0,21
Clueless,/Clueless.html,10,0,1,0,1,2,0,0,0,1,0,13439
Cobb,/Cobb.html,15,22,37,8,1,15,2,0,0,8,0,28165
Coco,/Coco.html,0,0,0,0,0,0,0,0,0,0,0,23336
