,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
77,Armageddon,0.67,PG-13,01 Jul 1998,151 min,"Action, Adventure, Sci-Fi, Thriller",/Armageddon.html,12.0,2.0,2.0,3.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,28440.0
78,Army of Darkness,0.76,R,19 Feb 1993,81 min,"Comedy, Horror",/Army-of-Darkness.html,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16184.0
79,Arsenic and Old Lace,0.8,NOT RATED,23 Sep 1944,118 min,"Comedy, Crime, Thriller",/Arsenic-and-Old-Lace.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33407.0
80,Arthur,0.57,PG-13,08 Apr 2011,110 min,"Comedy, Romance",/Arthur.html,12.0,5.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,22411.0
81,A Portrait of an Artist: The Making of 'Get Rich or Die Tryin',0.7,N/A,28 Mar 2006,29 min,"Documentary, Short",,,,,,,,,,,,,
82,As Good as It Gets,0.77,PG-13,25 Dec 1997,139 min,"Comedy, Drama, Romance",,,,,,,,,,,,,
83,Assassins,0.63,R,06 Oct 1995,132 min,"Action, Crime, Thriller",/Assassins.html,25.0,21.0,2.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,23561.0
84,At First Sight,0.59,PG-13,15 Jan 1999,128 min,"Drama, Romance",/At-First-Sight.html,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27557.0
85,Austin Powers: International Man of Mystery,0.7,PG-13,02 May 1997,89 min,"Adventure, Comedy",,,,,,,,,,,,,
86,Austin Powers: The Spy Who Shagged Me,0.66,PG-13,11 Jun 1999,95 min,"Action, Adventure, Comedy, Crime",,,,,,,,,,,,,
87,Authors Anonymous,0.43,PG-13,18 Mar 2014,92 min,Comedy,/Authors-Anonymous.html,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,21745.0
88,Autumn in New York,0.56,PG-13,11 Aug 2000,103 min,"Drama, Romance",/Autumn-in-New-York.html,4.0,1.0,8.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,24333.0
89,Avatar,0.78,PG-13,18 Dec 2009,162 min,"Action, Adventure, Fantasy, Sci-Fi",/Avatar.html,13.0,0.0,8.0,8.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,35757.0
90,Awakenings,0.78,PG-13,11 Jan 1991,121 min,"Biography, Drama",/Awakenings.html,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32071.0
91,Babel,0.75,R,10 Nov 2006,143 min,Drama,/Babel.html,4.0,9.0,7.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,27169.0
92,Bachelor Party,0.63,R,29 Jun 1984,105 min,Comedy,/Bachelor-Party.html,21.0,2.0,2.0,1.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,22948.0
93,Back to the Future,0.85,PG,03 Jul 1985,116 min,"Adventure, Comedy, Sci-Fi",/Back-to-the-Future.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
94,The Making of 'Back to the Future II',0.58,N/A,N/A,7 min,Short,,,,,,,,,,,,,
95,Backdraft,0.67,R,24 May 1991,137 min,"Action, Crime, Drama, Mystery, Thriller",/Backdraft.html,17.0,9.0,5.0,13.0,3.0,10.0,0.0,2.0,0.0,1.0,0.0,27934.0
96,Bad Boys,0.69,R,07 Apr 1995,119 min,"Action, Comedy, Crime, Thriller",/Bad-Boys.html,29.0,27.0,5.0,1.0,3.0,17.0,8.0,3.0,0.0,0.0,0.0,27096.0
97,Bad Country,0.58,R,29 Apr 2014,95 min,"Action, Crime, Drama, Mystery, Thriller",/Bad-Country.html,19.0,43.0,10.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,23423.0
98,Bad Day at Black Rock,0.78,NOT RATED,15 May 1955,81 min,"Crime, Drama, Mystery",/Bad-Day-at-Black-Rock.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22482.0
99,Bad Dreams,0.56,R,08 Apr 1988,80 min,"Horror, Thriller",/Bad-Dreams.html,17.0,9.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,24130.0
100,Bad Lieutenant,0.71,NC-17,17 Dec 1992,96 min,"Crime, Drama, Thriller",/Bad-Lieutenant.html,18.0,17.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,15354.0
101,Bad Santa,0.71,R,26 Nov 2003,91 min,"Comedy, Crime, Drama",/Bad-Santa.html,41.0,62.0,0.0,9.0,3.0,21.0,5.0,4.0,0.0,1.0,0.0,16368.0
