,Unnamed: 0,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words,total_bad_words,Runtime_minutes,bad_word_frequency,Year
720,720,Shame,0.72,NC-17,13 Jan 2012,101 min,Drama,/Shame.html,6.0,27.0,0.0,1.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,16141.0,47.0,101.0,2.15,2012
721,721,Shampoo,0.63,R,13 Mar 1975,109 min,"Comedy, Drama",/Shampoo.html,14.0,17.0,2.0,4.0,1.0,5.0,0.0,0.0,1.0,3.0,0.0,24171.0,47.0,109.0,2.32,1975
722,722,She's Out of My League,0.64,R,12 Mar 2010,104 min,"Comedy, Romance",/She's-Out-of-My-League.html,28.0,17.0,3.0,6.0,0.0,10.0,6.0,2.0,1.0,1.0,1.0,24021.0,75.0,104.0,1.39,2010
723,723,Sherlock Holmes,0.76,PG-13,25 Dec 2009,128 min,"Action, Adventure, Crime, Mystery, Thriller",/Sherlock-Holmes.html,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31451.0,3.0,128.0,42.67,2009
724,724,Shifty,0.65,UNRATED,24 Apr 2009,85 min,Thriller,/Shifty.html,10.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15835.0,68.0,85.0,1.25,2009
726,726,Shivers,0.65,R,06 Jul 1976,87 min,"Horror, Sci-Fi",/Shivers.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20607.0,0.0,87.0,inf,1976
727,727,Shrek,0.79,PG,18 May 2001,90 min,"Animation, Adventure, Comedy, Family, Fantasy",/Shrek.html,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13530.0,4.0,90.0,22.5,2001
728,728,Shrek the Third,0.61,PG,18 May 2007,93 min,"Animation, Adventure, Comedy, Family, Fantasy",/Shrek-the-Third.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22305.0,0.0,93.0,inf,2007
729,729,Sicario,0.76,R,02 Oct 2015,121 min,"Action, Crime, Drama, Mystery, Thriller",/Sicario.html,8.0,13.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,20732.0,27.0,121.0,4.48,2015
730,730,Sideways,0.75,R,21 Jan 2005,127 min,"Comedy, Drama, Romance",/Sideways.html,11.0,31.0,2.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,25684.0,56.0,127.0,2.27,2005
731,731,Signs,0.67,PG-13,02 Aug 2002,106 min,"Drama, Mystery, Sci-Fi, Thriller",/Signs.html,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,23175.0,9.0,106.0,11.78,2002
732,732,Silence of the Lambs,0.71,float(0),07 May 2002,float(0),Documentary,/Silence-of-the-Lambs.html,9.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,31730.0,29.0,1.0,0.03,2002
733,733,Silver Bullet,0.64,R,11 Oct 1985,95 min,Horror,/Silver-Bullet.html,10.0,3.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,27458.0,35.0,95.0,2.71,1985
734,734,Silver Linings Playbook,0.77,R,25 Dec 2012,122 min,"Comedy, Drama, Romance",/Silver-Linings-Playbook.html,20.0,23.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,26686.0,49.0,122.0,2.49,2012
735,735,Simone,0.59,NOT RATED,24 Jun 2013,72 min,"Biography, Drama",/Simone.html,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26872.0,9.0,72.0,8.0,2013
736,736,Single White Female,0.63,R,14 Aug 1992,107 min,"Drama, Thriller",/Single-White-Female.html,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29443.0,9.0,107.0,11.89,1992
737,737,Sister Act,0.63,PG,29 May 1992,100 min,"Comedy, Crime, Family, Music",/Sister-Act.html,0.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,26461.0,13.0,100.0,7.69,1992
738,738,Six Degrees of Separation,0.69,R,08 Dec 1993,112 min,"Comedy, Drama, Mystery",/Six-Degrees-of-Separation.html,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27540.0,11.0,112.0,10.18,1993
739,739,Sleepless in Seattle,0.68,PG,25 Jun 1993,105 min,"Comedy, Drama, Romance",/Sleepless-in-Seattle.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20926.0,2.0,105.0,52.5,1993
740,740,Sleepy Hollow,0.74,R,19 Nov 1999,105 min,"Fantasy, Horror, Mystery",/Sleepy-Hollow.html,0.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,25461.0,15.0,105.0,7.0,1999
741,741,Sling Blade,0.8,R,14 Mar 1997,135 min,Drama,/Sling-Blade.html,11.0,2.0,5.0,6.0,1.0,8.0,1.0,2.0,0.0,2.0,0.0,22453.0,38.0,135.0,3.55,1997
742,742,Slither,0.65,R,31 Mar 2006,95 min,"Comedy, Horror, Sci-Fi",/Slither.html,18.0,8.0,6.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,23397.0,43.0,95.0,2.21,2006
743,743,Slumdog Millionaire,0.8,R,25 Dec 2008,120 min,"Drama, Romance",/Slumdog-Millionaire.html,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26855.0,15.0,120.0,8.0,2008
744,744,Smashed,0.68,R,14 Dec 2012,81 min,Drama,/Smashed.html,16.0,22.0,4.0,6.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,18501.0,57.0,81.0,1.42,2012
745,745,Smokin' Aces,0.67,R,26 Jan 2007,108 min,"Action, Crime, Drama, Thriller",/Smokin'-Aces.html,42.0,22.0,9.0,4.0,2.0,14.0,0.0,7.0,2.0,2.0,0.0,30452.0,104.0,108.0,1.04,2007
746,746,Snatch,0.83,R,19 Jan 2001,102 min,"Comedy, Crime",/Snatch.html,9.0,40.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,15.0,0.0,23730.0,70.0,102.0,1.46,2001
747,747,Sneakers,0.71,PG-13,11 Sep 1992,126 min,"Comedy, Crime, Drama, Mystery, Thriller",/Sneakers.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,126.0,inf,1992
748,748,Snow Falling on Cedars,0.68,PG-13,07 Jan 2000,127 min,"Drama, Mystery, Romance",float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,127.0,127.0,2000
749,749,Snow White and the Huntsman,0.61,PG-13,01 Jun 2012,127 min,"Action, Adventure, Drama, Fantasy",/Snow-White-and-the-Huntsman.html,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26659.0,4.0,127.0,31.75,2012
750,750,So I Married an Axe Murderer,0.64,PG-13,30 Jul 1993,93 min,"Comedy, Romance",/So-I-Married-an-Axe-Murderer.html,6.0,1.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,20583.0,21.0,93.0,4.43,1993
751,751,Solaris,0.62,PG-13,27 Nov 2002,99 min,"Drama, Mystery, Romance, Sci-Fi",/Solaris.html,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12857.0,7.0,99.0,14.14,2002
752,752,Soldier,0.6,R,23 Oct 1998,99 min,"Action, Drama, Sci-Fi",/Soldier.html,10.0,4.0,4.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,33070.0,30.0,99.0,3.3,1998
753,753,Someone to Watch Over Me,0.61,R,09 Oct 1987,106 min,"Crime, Drama, Romance",float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,106.0,106.0,1987
754,754,Something's Gotta Give,0.67,PG-13,12 Dec 2003,128 min,"Comedy, Drama, Romance",/Something's-Gotta-Give.html,5.0,3.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,27732.0,20.0,128.0,6.4,2003
755,755,Source Code,0.75,PG-13,01 Apr 2011,93 min,"Sci-Fi, Thriller",/Source-Code.html,5.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,22819.0,13.0,93.0,7.15,2011
756,756,South Park,0.87,TV-MA,13 Aug 1997,22 min,"Animation, Comedy",/South-Park.html,23.0,44.0,13.0,20.0,3.0,24.0,2.0,3.0,5.0,5.0,0.0,26547.0,142.0,22.0,0.15,1997
757,757,Space Milkshake,0.68,NOT RATED,15 Feb 2013,85 min,"Comedy, Sci-Fi",/Space-Milkshake.html,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,18184.0,11.0,85.0,7.73,2013
758,758,Spanglish,0.64,PG-13,17 Dec 2004,131 min,"Comedy, Drama, Romance",/Spanglish.html,2.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,29203.0,15.0,131.0,8.73,2004
759,759,Spare Me,0.67,float(0),03 Sep 1994,float(0),Thriller,/Spare-Me.html,2.0,6.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,16831.0,13.0,1.0,0.08,1994
760,760,Spartan,0.66,R,12 Mar 2004,106 min,"Action, Crime, Drama, Mystery, Thriller",/Spartan.html,2.0,14.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,30372.0,22.0,106.0,4.82,2004
761,761,Speed,0.72,R,10 Jun 1994,116 min,"Action, Adventure, Crime, Thriller",/Speed.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,116.0,inf,1994
762,762,Speed Racer,0.6,PG,09 May 2008,135 min,"Action, Adventure, Comedy, Drama, Family, Sci-Fi, Sport",/Speed-Racer.html,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,29939.0,7.0,135.0,19.29,2008
763,763,Sphere,0.61,PG-13,13 Feb 1998,134 min,"Drama, Horror, Mystery, Sci-Fi, Thriller",/Sphere.html,13.0,5.0,13.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,24193.0,37.0,134.0,3.62,1998
764,764,Spider-Man,0.73,PG-13,03 May 2002,121 min,"Action, Adventure, Sci-Fi",/Spider-Man.html,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26289.0,9.0,121.0,13.44,2002
